Accel X,Accel Y,Accel Z,MoCap X,Mocap Y,Mocap Z,Classification
-1.439342,1.121800,-0.327188,2.272200,1.227100,-0.436300,1
-1.439342,1.004120,-0.405642,2.272100,1.227200,-0.436300,1
-1.439342,0.925667,-0.327188,2.272100,1.227300,-0.436300,1
-1.439342,0.847214,-0.327188,2.272000,1.227400,-0.436300,1
-1.439342,0.847214,-0.327188,2.271900,1.227500,-0.436300,1
-1.478569,0.847214,-0.287961,2.271800,1.227600,-0.436300,1
-1.439342,0.886441,-0.170281,2.271800,1.227600,-0.436200,1
-1.439342,0.886441,-0.170281,2.271600,1.227800,-0.436300,1
-1.439342,0.964894,-0.170281,2.271500,1.227900,-0.436300,1
-1.439342,1.043347,-0.170281,2.271400,1.227900,-0.436200,1
-1.478569,1.082574,-0.170281,2.271400,1.228000,-0.436200,1
-1.478569,1.082574,-0.170281,2.271300,1.228100,-0.436200,1
-1.439342,0.925667,-0.170281,2.271100,1.228200,-0.436200,1
-1.517795,0.807987,-0.209508,2.271100,1.228300,-0.436200,1
-1.517795,0.807987,-0.209508,2.271100,1.228300,-0.436200,1
-1.360889,0.494174,-0.170281,2.271100,1.228400,-0.436200,1
-1.360889,0.494174,-0.170281,2.271000,1.228500,-0.436200,1
-1.360889,0.454948,-0.170281,2.271100,1.228600,-0.436200,1
-1.360889,0.454948,-0.131055,2.271100,1.228600,-0.436200,1
-1.360889,0.376495,-0.170281,2.271100,1.228700,-0.436100,1
-1.360889,0.376495,-0.170281,2.271200,1.228700,-0.436200,1
-1.321662,0.415721,-0.170281,2.271300,1.228800,-0.436200,1
-1.321662,0.454948,-0.170281,2.271400,1.228800,-0.436200,1
-1.321662,0.454948,-0.170281,2.271600,1.228900,-0.436200,1
-1.321662,0.494174,-0.209508,2.271700,1.228900,-0.436300,1
-1.282436,0.494174,-0.170281,2.272000,1.228900,-0.436300,1
-1.360889,0.572628,-0.131055,2.272000,1.229000,-0.436400,1
-1.360889,0.572628,-0.131055,2.272200,1.229000,-0.436500,1
-1.400115,0.572628,-0.170281,2.272400,1.229000,-0.436500,1
-1.400115,0.572628,-0.170281,2.272500,1.229100,-0.436700,1
-1.360889,0.572628,-0.091828,2.272800,1.229100,-0.436800,1
-1.360889,0.572628,-0.091828,2.273000,1.229100,-0.436800,1
-1.360889,0.533401,-0.131055,2.273200,1.229200,-0.436900,1
-1.400115,0.533401,-0.170281,2.273400,1.229200,-0.437100,1
-1.400115,0.572628,-0.131055,2.273700,1.229300,-0.437200,1
-1.400115,0.572628,-0.131055,2.273900,1.229300,-0.437300,1
-1.400115,0.572628,-0.170281,2.274200,1.229400,-0.437400,1
-1.360889,0.572628,-0.131055,2.274400,1.229400,-0.437600,1
-1.360889,0.572628,-0.131055,2.274600,1.229500,-0.437700,1
-1.321662,0.611854,-0.170281,2.274800,1.229500,-0.437900,1
-1.321662,0.651081,-0.131055,2.274900,1.229600,-0.438000,1
-1.321662,0.690307,-0.091828,2.274900,1.229700,-0.438100,1
-1.321662,0.768761,-0.170281,2.275100,1.229700,-0.438200,1
-1.321662,0.768761,-0.170281,2.275100,1.229800,-0.438300,1
-1.282436,0.807987,-0.248734,2.275100,1.229800,-0.438300,1
-1.282436,0.807987,-0.209508,2.275100,1.229800,-0.438400,1
-1.282436,0.807987,-0.209508,2.275200,1.229800,-0.438400,1
-1.321662,0.847214,-0.209508,2.275200,1.229900,-0.438500,1
-1.321662,0.847214,-0.170281,2.275300,1.229900,-0.438500,1
-1.243209,0.847214,-0.170281,2.275300,1.229900,-0.438600,1
-1.243209,0.847214,-0.209508,2.275300,1.230000,-0.438700,1
-1.243209,0.847214,-0.209508,2.275300,1.230000,-0.438700,1
-1.282436,0.807987,-0.209508,2.275300,1.230100,-0.438700,1
-1.321662,0.807987,-0.248734,2.275300,1.230000,-0.438800,1
-1.321662,0.807987,-0.248734,2.275200,1.230100,-0.438800,1
-1.360889,0.768761,-0.287961,2.275200,1.230100,-0.438900,1
-1.321662,0.768761,-0.287961,2.275100,1.230200,-0.438900,1
-1.282436,0.729534,-0.248734,2.275100,1.230100,-0.438900,1
-1.282436,0.729534,-0.248734,2.275100,1.230100,-0.438900,1
-1.282436,0.729534,-0.327188,2.275000,1.230200,-0.438900,1
-1.282436,0.768761,-0.327188,2.274900,1.230200,-0.438900,1
-1.321662,0.768761,-0.287961,2.274800,1.230200,-0.438900,1
-1.282436,0.768761,-0.327188,2.274700,1.230300,-0.438900,1
-1.282436,0.768761,-0.327188,2.274700,1.230300,-0.438900,1
-1.360889,0.768761,-0.327188,2.274600,1.230300,-0.438900,1
-1.400115,0.807987,-0.327188,2.274500,1.230400,-0.438900,1
-1.400115,0.807987,-0.327188,2.274400,1.230400,-0.438900,1
-1.400115,0.768761,-0.327188,2.274200,1.230400,-0.438900,1
-1.360889,0.768761,-0.366415,2.274100,1.230400,-0.438900,1
-1.321662,0.768761,-0.327188,2.274000,1.230500,-0.438900,1
-1.321662,0.768761,-0.327188,2.273800,1.230500,-0.438900,1
-1.282436,0.729534,-0.366415,2.273700,1.230600,-0.438800,1
-1.321662,0.807987,-0.366415,2.273500,1.230600,-0.438800,1
-1.360889,0.768761,-0.366415,2.273400,1.230700,-0.438800,1
-1.360889,0.768761,-0.366415,2.273200,1.230700,-0.438800,1
-1.360889,0.807987,-0.327188,2.273100,1.230700,-0.438800,1
-1.360889,0.768761,-0.287961,2.273000,1.230800,-0.438800,1
-1.360889,0.768761,-0.287961,2.272900,1.230800,-0.438800,1
-1.360889,0.768761,-0.248734,2.272800,1.230900,-0.438800,1
-1.400115,0.768761,-0.248734,2.272800,1.230900,-0.438700,1
-1.400115,0.768761,-0.248734,2.272700,1.230900,-0.438800,1
-1.400115,0.768761,-0.248734,2.272700,1.231000,-0.438800,1
-1.439342,0.729534,-0.209508,2.272700,1.231000,-0.438700,1
-1.439342,0.690307,-0.287961,2.272600,1.231000,-0.438800,1
-1.439342,0.690307,-0.287961,2.272600,1.231000,-0.438800,1
-1.478569,0.729534,-0.248734,2.272600,1.231100,-0.438800,1
-1.439342,0.690307,-0.248734,2.272600,1.231100,-0.438800,1
-1.439342,0.690307,-0.248734,2.272500,1.231100,-0.438800,1
-1.439342,0.690307,-0.248734,2.272600,1.231100,-0.438800,1
-1.478569,0.729534,-0.170281,2.272500,1.231100,-0.438800,1
-1.478569,0.729534,-0.131055,2.272600,1.231000,-0.438800,1
-1.478569,0.729534,-0.131055,2.272500,1.231000,-0.438900,1
-1.478569,0.768761,-0.052602,2.272500,1.231000,-0.438800,1
-1.478569,0.807987,-0.052602,2.272500,1.230900,-0.438800,1
-1.517795,0.807987,0.000000,2.272500,1.230900,-0.438800,1
-1.517795,0.807987,0.000000,2.272500,1.230800,-0.438900,1
-1.517795,0.807987,-0.052602,2.272600,1.230700,-0.438900,1
-1.557022,0.768761,-0.091828,2.272600,1.230700,-0.438900,1
-1.557022,0.768761,-0.091828,2.272600,1.230600,-0.438900,1
-1.517795,0.729534,0.000000,2.272600,1.230500,-0.439000,1
-1.517795,0.729534,0.000000,2.272600,1.230400,-0.439000,1
-1.439342,0.651081,-0.052602,2.272700,1.230200,-0.439000,1
-1.478569,0.690307,-0.052602,2.272700,1.230100,-0.439000,1
-1.478569,0.690307,-0.052602,2.272700,1.230000,-0.439100,1
-1.517795,0.690307,0.000000,2.272800,1.229900,-0.439100,1
-1.478569,0.690307,-0.131055,2.272800,1.229700,-0.439100,1
-1.439342,0.729534,-0.091828,2.272900,1.229500,-0.439200,1
-1.439342,0.729534,-0.091828,2.273000,1.229400,-0.439200,1
-1.400115,0.729534,0.000000,2.273000,1.229200,-0.439200,1
-1.400115,0.729534,0.000000,2.273100,1.229100,-0.439300,1
-1.400115,0.729534,-0.052602,2.273200,1.228900,-0.439300,1
-1.400115,0.729534,-0.052602,2.273200,1.228700,-0.439400,1
-1.439342,0.768761,-0.091828,2.273300,1.228500,-0.439400,1
-1.439342,0.768761,-0.131055,2.273300,1.228400,-0.439500,1
-1.439342,0.768761,-0.131055,2.273400,1.228200,-0.439500,1
-1.439342,0.768761,-0.131055,2.273300,1.228100,-0.439600,1
-1.321662,0.768761,-0.131055,2.273300,1.227900,-0.439600,1
-1.321662,0.768761,-0.131055,2.273300,1.227800,-0.439600,1
-1.400115,0.768761,-0.131055,2.273400,1.227600,-0.439700,1
-1.400115,0.807987,-0.170281,2.273400,1.227500,-0.439700,1
-1.400115,0.847214,-0.248734,2.273400,1.227400,-0.439800,1
-1.439342,0.847214,-0.209508,2.273400,1.227200,-0.439800,1
-1.439342,0.847214,-0.209508,2.273400,1.227200,-0.439900,1
-1.400115,0.847214,-0.209508,2.273400,1.227100,-0.439900,1
-1.400115,0.847214,-0.209508,2.273500,1.227100,-0.440000,1
-1.400115,0.847214,-0.209508,2.273500,1.227000,-0.440000,1
-1.400115,0.807987,-0.209508,2.273400,1.227000,-0.440000,1
-1.439342,0.847214,-0.248734,2.273400,1.227000,-0.440100,1
-1.439342,0.807987,-0.287961,2.273400,1.226900,-0.440100,1
-1.439342,0.807987,-0.366415,2.273300,1.226900,-0.440100,1
-1.439342,0.807987,-0.366415,2.273200,1.226900,-0.440100,1
-1.439342,0.807987,-0.287961,2.273100,1.227000,-0.440200,1
-1.400115,0.807987,-0.248734,2.273000,1.227000,-0.440200,1
-1.400115,0.807987,-0.248734,2.272900,1.227000,-0.440200,1
-1.439342,0.807987,-0.327188,2.272900,1.227100,-0.440200,1
-1.439342,0.807987,-0.327188,2.272800,1.227100,-0.440200,1
-1.400115,0.768761,-0.327188,2.272700,1.227200,-0.440100,1
-1.439342,0.807987,-0.327188,2.272600,1.227300,-0.440200,1
-1.439342,0.807987,-0.327188,2.272500,1.227400,-0.440200,1
-1.400115,0.807987,-0.327188,2.272400,1.227500,-0.440200,1
-1.439342,0.807987,-0.287961,2.272300,1.227500,-0.440200,1
-1.439342,0.807987,-0.287961,2.272200,1.227600,-0.440200,1
-1.439342,0.847214,-0.248734,2.272100,1.227700,-0.440100,1
-1.400115,0.807987,-0.327188,2.272000,1.227800,-0.440100,1
-1.360889,0.768761,-0.287961,2.272000,1.227900,-0.440100,1
-1.360889,0.768761,-0.287961,2.271900,1.228000,-0.440100,1
-1.360889,0.768761,-0.248734,2.271800,1.228100,-0.440100,1
-1.360889,0.807987,-0.248734,2.271800,1.228100,-0.440100,1
-1.360889,0.807987,-0.209508,2.271700,1.228200,-0.440100,1
-1.360889,0.807987,-0.209508,2.271700,1.228300,-0.440100,1
-1.400115,0.807987,-0.209508,2.271600,1.228400,-0.440100,1
-1.360889,0.807987,-0.209508,2.271600,1.228500,-0.440000,1
-1.400115,0.807987,-0.209508,2.271600,1.228500,-0.440000,1
-1.400115,0.807987,-0.209508,2.271600,1.228600,-0.440000,1
-1.360889,0.768761,-0.209508,2.271500,1.228700,-0.440000,1
-1.400115,0.651081,-0.170281,2.271500,1.228700,-0.440000,1
-1.400115,0.651081,-0.170281,2.271500,1.228800,-0.440100,1
-1.400115,0.651081,-0.170281,2.271500,1.228900,-0.440000,1
-1.360889,0.651081,-0.131055,2.271500,1.228900,-0.440000,1
-1.439342,0.651081,-0.131055,2.271500,1.229000,-0.440000,1
-1.439342,0.651081,-0.131055,2.271500,1.229000,-0.440100,1
-1.439342,0.651081,-0.131055,2.271600,1.229000,-0.440100,1
-1.400115,0.729534,-0.170281,2.271500,1.229100,-0.440100,1
-1.400115,0.729534,-0.131055,2.271600,1.229100,-0.440200,1
-1.321662,0.729534,-0.131055,2.271600,1.229100,-0.440200,1
-1.321662,0.729534,-0.131055,2.271700,1.229200,-0.440200,1
-1.400115,0.729534,-0.131055,2.271700,1.229200,-0.440200,1
-1.400115,0.729534,-0.131055,2.271700,1.229200,-0.440300,1
-1.400115,0.729534,-0.131055,2.271800,1.229300,-0.440300,1
-1.439342,0.729534,-0.170281,2.271900,1.229300,-0.440300,1
-1.400115,0.729534,-0.170281,2.271900,1.229300,-0.440400,1
-1.360889,0.690307,-0.131055,2.272000,1.229300,-0.440400,1
-1.360889,0.690307,-0.131055,2.272100,1.229300,-0.440500,1
-1.360889,0.729534,-0.170281,2.272200,1.229300,-0.440500,1
-1.360889,0.690307,-0.170281,2.272300,1.229300,-0.440600,1
-1.360889,0.690307,-0.170281,2.272400,1.229400,-0.440600,1
-1.400115,0.729534,-0.170281,2.272400,1.229400,-0.440600,1
-1.400115,0.729534,-0.131055,2.272500,1.229400,-0.440700,1
-1.360889,0.729534,-0.170281,2.272500,1.229400,-0.440700,1
-1.360889,0.729534,-0.131055,2.272600,1.229500,-0.440700,1
-1.360889,0.729534,-0.131055,2.272600,1.229500,-0.440800,1
-1.360889,0.729534,-0.209508,2.272700,1.229500,-0.440800,1
-1.360889,0.729534,-0.091828,2.272700,1.229600,-0.440900,1
-1.321662,0.768761,-0.209508,2.272800,1.229600,-0.440900,1
-1.321662,0.768761,-0.209508,2.272800,1.229700,-0.440900,1
-1.321662,0.690307,-0.209508,2.272900,1.229700,-0.441000,1
-1.321662,0.690307,-0.209508,2.272900,1.229800,-0.441100,1
-1.243209,0.651081,-0.209508,2.273000,1.229900,-0.441100,1
-1.243209,0.651081,-0.209508,2.273000,1.229900,-0.441100,1
-1.243209,0.651081,-0.209508,2.273100,1.230100,-0.441200,1
-1.243209,0.651081,-0.170281,2.273100,1.230200,-0.441300,1
-1.321662,0.690307,-0.248734,2.273100,1.230300,-0.441300,1
-1.282436,0.729534,-0.248734,2.273100,1.230300,-0.441300,1
-1.203982,0.729534,-0.248734,2.273100,1.230400,-0.441400,1
-1.203982,0.729534,-0.248734,2.273100,1.230500,-0.441500,1
-1.203982,0.768761,-0.248734,2.273100,1.230600,-0.441500,1
-1.164756,0.807987,-0.170281,2.273200,1.230700,-0.441600,1
-1.203982,0.807987,-0.209508,2.273200,1.230800,-0.441600,1
-1.203982,0.807987,-0.209508,2.273200,1.231000,-0.441700,1
-1.203982,0.807987,-0.248734,2.273100,1.231100,-0.441700,1
-1.203982,0.847214,-0.248734,2.273100,1.231200,-0.441800,1
-1.203982,0.847214,-0.248734,2.273100,1.231300,-0.441800,1
-1.243209,0.847214,-0.209508,2.273100,1.231400,-0.441800,1
-1.203982,0.847214,-0.209508,2.273100,1.231500,-0.441900,1
-1.243209,0.847214,-0.209508,2.273000,1.231600,-0.441900,1
-1.282436,0.768761,-0.248734,2.273000,1.231700,-0.441900,1
-1.282436,0.807987,-0.248734,2.272900,1.231800,-0.442000,1
-1.282436,0.807987,-0.248734,2.272800,1.231900,-0.442000,1
-1.321662,0.768761,-0.248734,2.272700,1.231900,-0.442000,1
-1.360889,0.807987,-0.248734,2.272600,1.232000,-0.442000,1
-1.360889,0.807987,-0.248734,2.272500,1.232200,-0.442000,1
-1.360889,0.847214,-0.248734,2.272400,1.232200,-0.442000,1
-1.360889,0.847214,-0.248734,2.272300,1.232200,-0.442000,1
-1.321662,0.807987,-0.327188,2.272200,1.232300,-0.442000,1
-1.321662,0.807987,-0.248734,2.272100,1.232400,-0.442000,1
-1.321662,0.807987,-0.209508,2.272000,1.232500,-0.442000,1
-1.321662,0.807987,-0.209508,2.271900,1.232500,-0.442000,1
-1.400115,0.768761,-0.287961,2.271800,1.232600,-0.441900,1
